lat;lon;name;date;heure;temperature;point_de_rose;humidite;pression_station;variation_pression_24h;temperature_min_sol_12h;precipitations_dernieres_24h
507.325;1.599.667;BOULOGNE-SEM;01/01/2026;00:00:00Z;277.05;274.05;81;101160;-1230;NULL;0.8
505.145;1.622.833;LE-TOUQUET;01/01/2026;00:00:00Z;278.35;273.75;72;101790;-1180;276.85;0.2
50.136;1.834;ABBEVILLE;01/01/2026;00:00:00Z;275.85;274.25;89;101210;-1090;272.35;0.2
51.055.833;23.395;DUNKERQUE;01/01/2026;00:00:00Z;277.75;274.45;79;101680;-1310;NULL;0.6
50.57;30.975;LILLE-LESQUIN;01/01/2026;00:00:00Z;273.75;272.55;92;101410;-1140;271.85;0.6
49.725.167;-1.939.833;PTE DE LA HAGUE;01/01/2026;00:00:00Z;280.05;274.75;69;102100;-1010;NULL;0.4
49.652.667;-14.635;GONNEVILLE;01/01/2026;00:00:00Z;274.55;272.75;88;100560;-990;278.95;1.2
49.18;-0.456167;CAEN-CARPIQUET;01/01/2026;00:00:00Z;273.65;272.75;94;101470;-900;274.85;0.0
493.645;0.167;ST GATIEN DES B;01/01/2026;00:00:00Z;275.25;273.35;87;100510;-920;NULL;0.0
493.895;1.178.333;ROUEN-BOOS;01/01/2026;00:00:00Z;273.55;272.95;96;100290;-930;274.55;0.0
49.025;1.221.667;EVREUX-HUEST;01/01/2026;00:00:00Z;269.75;269.35;97;100570;-860;272.15;0.0
49.932.833;1.09;DIEPPE;01/01/2026;00:00:00Z;277.45;273.95;78;101610;-1060;276.85;0.2
49.533;0.091667;OCTEVILLE;01/01/2026;00:00:00Z;277.65;275.15;84;101090;-990;NULL;-0.1
49.090.333;20.285;PONTOISE - AERO;01/01/2026;00:00:00Z;268.85;268.15;95;101170;-860;270.05;0.0
494.465;2.127.167;BEAUVAIS-TILLE;01/01/2026;00:00:00Z;270.95;270.65;98;100960;-920;270.75;0.0
49.971.833;2.703.833;MEAULTE;01/01/2026;00:00:00Z;274.45;274.45;100;100720;-1030;NULL;0.2
49.818.333;3.206;ST QUENTIN;01/01/2026;00:00:00Z;273.95;273.95;100;100920;-970;273.45;-0.1
49.209.833;4.155.333;REIMS-PRUNAY;01/01/2026;00:00:00Z;270.95;270.85;99;101030;-840;272.85;0.0
49.782.833;4.643.167;CHARLEVILLE-MEZ;01/01/2026;00:00:00Z;273.95;273.05;94;100310;-900;273.25;-0.1
48.979.333;6.243.167;AEROPORT METZ-NANCY-LORRAINE;01/01/2026;00:00:00Z;272.15;272.05;99;99020;-740;269.05;0.0
48.473.333;-5.057;OUESSANT-STIFF;01/01/2026;00:00:00Z;278.85;273.65;69;101440;-790;NULL;0.0
48.548;-4.664.167;PLOUDALMEZEAU;01/01/2026;00:00:00Z;275.55;272.75;82;101870;-810;NULL;0.0
48.532;-4.151.833;LANDIVISIAU;01/01/2026;00:00:00Z;271.75;270.95;94;100930;-770;NULL;0.0
48.279.333;-4.439.333;LANVEOC;01/01/2026;00:00:00Z;274.65;273.45;92;101330;-760;NULL;0.0
48.45;-4.383.333;BREST-GUIPAVAS;01/01/2026;00:00:00Z;272.55;271.55;93;101150;-780;269.25;0.0
48.825.833;-3.473.167;PLOUMANAC'H;01/01/2026;00:00:00Z;276.95;273.25;77;101620;-810;NULL;0.0
48.755.333;-3.468.667;LANNION_AERO;01/01/2026;00:00:00Z;270.85;269.55;91;101290;-800;NULL;0.0
48.584.833;-2.076.333;DINARD;01/01/2026;00:00:00Z;272.95;270.25;82;101550;-820;272.45;0.0
48.068.833;-1.734;RENNES-ST JACQUES;01/01/2026;00:00:00Z;269.55;269.05;96;101910;-710;274.75;0.0
48.030.667;-0.7465;LAVAL-ETRONNIER;01/01/2026;00:00:00Z;270.85;270.15;95;101100;-680;268.75;0.0
484.455;0.110167;ALENCON;01/01/2026;00:00:00Z;269.65;269.25;97;100560;-730;275.75;0.0
48.061.333;1.376.333;CHATEAUDUN;01/01/2026;00:00:00Z;266.65;266.15;96;100760;-650;268.45;0.2
484.605;1.501.167;CHARTRES;01/01/2026;00:00:00Z;268.65;267.95;95;100390;-720;272.25;-0.1
48.774.333;2.009.833;TRAPPES;01/01/2026;00:00:00Z;269.85;269.35;96;100120;-800;272.95;0.0
48.750.667;21.135;TOUSSUS LE NOBLE;01/01/2026;00:00:00Z;268.95;268.25;95;100270;-800;268.95;0.0
487.725;2.204;VILLACOUBLAY;01/01/2026;00:00:00Z;270.65;270.55;99;100080;-790;269.15;0.0
48.718;2.397;ORLY;01/01/2026;00:00:00Z;270.25;269.55;95;101160;-800;NULL;0.0
48.967.333;2.427.667;LE BOURGET;01/01/2026;00:00:00Z;270.35;269.85;96;101660;-840;270.05;0.0
48.610.333;26.795;MELUN;01/01/2026;00:00:00Z;269.75;269.65;99;101130;-760;273.25;0.0
48.821.667;2.337.833;PARIS-MONTSOURIS;01/01/2026;00:00:00Z;272.65;271.25;90;101300;-810;269.15;0.2
49.015.167;2.534.333;ROISSY;01/01/2026;00:00:00Z;272.65;272.25;97;100860;-830;271.45;0.0
48.777.167;4.164.667;VATRY-AERO;01/01/2026;00:00:00Z;268.15;267.85;98;100190;-730;NULL;0.2
48.324.667;4.02;TROYES-BARBEREY;01/01/2026;00:00:00Z;265.75;264.85;93;100850;-650;270.35;0.0
48.631.333;4.903.667;ST-DIZIER;01/01/2026;00:00:00Z;271.35;270.95;97;100470;-680;267.65;0.0
48.687.833;62.215;NANCY-ESSEY;01/01/2026;00:00:00Z;272.25;271.85;97;99610;-690;268.85;0.0
48.581;5.959.833;NANCY-OCHEY;01/01/2026;00:00:00Z;271.65;271.55;99;97930;-650;265.05;0.0
485.495;7.640.333;STRASBOURG-ENTZHEIM;01/01/2026;00:00:00Z;268.35;267.15;91;100380;-640;266.15;0.0
47.928.667;7.407.667;COLMAR-MEYENHEIM;01/01/2026;00:00:00Z;267.25;265.85;90;99690;-590;268.65;0.0
47.973;-4.160.667;QUIMPER;01/01/2026;00:00:00Z;272.95;270.75;85;101290;-720;269.35;0.0
47.652.333;-3.502.333;ILE DE GROIX;01/01/2026;00:00:00Z;276.25;272.95;79;NULL;NULL;NULL;0.0
47.762.833;-3.435.667;LORIENT-LANN BIHOUE;01/01/2026;00:00:00Z;271.85;270.25;89;101800;-700;272.65;0.0
47.294.333;-3.218.333;BELLE ILE-LE TALUT;01/01/2026;00:00:00Z;276.45;NULL;NULL;NULL;NULL;NULL;0.0
47.313.833;-21.545;ST NAZAIRE-MONTOIR;01/01/2026;00:00:00Z;271.45;269.75;88;102260;-640;NULL;0.0
47.15;-1.608.833;NANTES-BOUGUENAIS;01/01/2026;00:00:00Z;272.75;270.35;84;101940;-600;273.05;0.0
47.561.833;-0.317;MARCE;01/01/2026;00:00:00Z;267.55;266.15;90;101680;-610;NULL;0.2
47.479;-0.614333;BEAUCOUZE;01/01/2026;00:00:00Z;270.05;269.25;94;101730;-600;271.05;0.2
47.945.833;0.194167;LE MANS;01/01/2026;00:00:00Z;268.85;268.15;95;101730;-650;268.95;0.0
474.445;0.727333;TOURS;01/01/2026;00:00:00Z;270.55;269.85;95;100920;-580;272.75;0.0
476.785;1.212.333;BLOIS;01/01/2026;00:00:00Z;268.35;267.65;95;100710;-600;271.95;0.0
47.319.667;16.875;ROMORANTIN;01/01/2026;00:00:00Z;266.05;265.25;94;101280;-530;266.45;0.0
47.990.667;1.778.167;ORLEANS;01/01/2026;00:00:00Z;268.65;268.15;96;100720;-640;270.05;0.0
47.059.167;2.359.833;BOURGES;01/01/2026;00:00:00Z;269.45;267.25;85;100230;-490;271.35;0.0
47.052.167;2.642.167;AVORD;01/01/2026;00:00:00Z;269.35;267.65;88;100090;-460;NULL;0.0
46.998.333;3.112.667;NEVERS-MARZY;01/01/2026;00:00:00Z;266.35;265.45;93;100100;-440;270.85;NULL
47.824.667;3.549.667;AUXERRE-PERRIGNY;01/01/2026;00:00:00Z;268.25;267.55;95;100420;-580;270.15;0.0
47.267.833;5.088.333;DIJON-LONGVIC;01/01/2026;00:00:00Z;268.55;267.35;91;99540;-430;271.85;0.0
47.843.667;53.375;LANGRES;01/01/2026;00:00:00Z;269.45;268.95;96;96510;-520;268.25;0.0
47.249;5.988.833;BESANCON;01/01/2026;00:00:00Z;267.95;262.95;68;98370;-430;273.65;0.0
