id_saisonnalite,mois_semis,mois_recolte,saison,remarque,id_culture
1,2,9,Printemps,,1
2,5,6,Printemps,,2
3,11,2,Hiver,Sensible au gel,2
4,3,9,Printemps,Culture rustique,3
5,4,6,Printemps,,4
6,9,1,Hiver,Culture rustique,4
7,4,6,Printemps,Sensible au gel,5
8,9,1,Hiver,Culture rustique,6
9,3,8,Printemps,Culture rustique,7
10,4,7,Été,,7
11,10,2,Hiver,Sensible au gel,8
12,8,11,Automne,Sensible au gel,8
13,4,6,Printemps,Besoin fort en eau,9
14,4,9,Printemps,Culture rustique,10
15,10,3,Hiver,Sensible au gel,11
16,5,9,Printemps,Sensible au gel,11
17,11,3,Hiver,,12
18,5,10,Été,,13
19,5,6,Printemps,Sensible au gel,14
20,6,7,Été,Culture rustique,14
21,8,10,Automne,Sensible au gel,15
22,10,2,Hiver,Culture rustique,16
23,3,8,Printemps,Sensible au gel,17
24,4,9,Été,Culture rustique,17
25,3,8,Été,Besoin fort en eau,18
26,9,11,Automne,Sensible au gel,19
27,8,12,Automne,Sensible au gel,20
28,5,6,Printemps,,21
29,9,12,Automne,,22
30,4,9,Printemps,Besoin fort en eau,23
31,8,10,Automne,,24
32,10,10,Automne,Besoin fort en eau,25
33,6,10,Été,Culture rustique,26
34,5,10,Été,Sensible au gel,27
35,3,8,Printemps,Besoin fort en eau,27
36,9,4,Hiver,,28
37,5,10,Été,Culture rustique,28
38,11,3,Hiver,,29
39,5,8,Été,Sensible au gel,29
40,5,6,Printemps,Sensible au gel,30
41,9,10,Automne,Sensible au gel,31
42,10,2,Hiver,,32
43,11,3,Hiver,,33
44,5,9,Été,Culture rustique,34
45,6,10,Été,Besoin fort en eau,35
46,4,10,Été,,36
47,3,6,Printemps,Culture rustique,37
48,9,2,Hiver,Culture rustique,38
49,6,8,Été,Sensible au gel,39
50,10,1,Hiver,Sensible au gel,40
51,10,12,Automne,,41
52,9,3,Hiver,Sensible au gel,42
53,6,7,Été,Besoin fort en eau,43
54,9,10,Automne,,44
55,3,7,Été,Besoin fort en eau,45
56,11,2,Hiver,Besoin fort en eau,46
57,3,9,Printemps,Culture rustique,47
58,9,12,Automne,Besoin fort en eau,48
59,4,7,Printemps,Sensible au gel,49
60,10,4,Hiver,Culture rustique,50
61,5,10,Été,Culture rustique,51
62,10,1,Hiver,,52
63,5,7,Printemps,Culture rustique,52
64,10,3,Hiver,Sensible au gel,53
65,5,9,Printemps,Sensible au gel,53
66,3,6,Printemps,Culture rustique,54
67,3,7,Été,Sensible au gel,55
68,10,12,Automne,Sensible au gel,55
69,8,12,Automne,Sensible au gel,56
70,11,3,Hiver,Culture rustique,57
71,4,9,Printemps,Besoin fort en eau,58
72,5,10,Été,Sensible au gel,59
73,4,6,Printemps,,60
74,9,11,Automne,Besoin fort en eau,61
75,5,9,Printemps,,61
76,8,12,Automne,Culture rustique,62
77,5,7,Été,Sensible au gel,63
78,11,1,Hiver,Culture rustique,64
79,4,8,Printemps,Sensible au gel,64
80,11,3,Hiver,Sensible au gel,65
81,8,10,Automne,Besoin fort en eau,65
82,4,10,Été,Sensible au gel,66
83,5,8,Printemps,,67
84,5,9,Été,,68
85,11,2,Hiver,Culture rustique,69
86,9,3,Hiver,Besoin fort en eau,70
87,2,7,Printemps,Culture rustique,71
88,4,9,Été,Besoin fort en eau,71
89,5,7,Été,Culture rustique,72
90,5,8,Automne,,73
91,4,10,Automne,Sensible au gel,74
92,2,7,Été,Sensible au gel,75
93,4,7,Printemps,Besoin fort en eau,76
94,7,11,Automne,Besoin fort en eau,77
95,3,7,Printemps,Sensible au gel,78
96,4,10,Automne,Culture rustique,78
97,2,7,Printemps,Sensible au gel,79
98,6,8,Automne,Besoin fort en eau,80
99,4,5,Printemps,,80
100,4,10,Automne,Sensible au gel,81
101,6,10,Automne,Culture rustique,82
102,2,8,Été,,83
103,5,11,Automne,Sensible au gel,84
104,1,5,Printemps,,85
105,6,11,Automne,,86
106,3,7,Été,Besoin fort en eau,86
107,7,11,Automne,Besoin fort en eau,87
108,5,8,Été,Besoin fort en eau,88
109,6,9,Automne,,89
110,3,7,Été,Culture rustique,90
111,6,11,Automne,Culture rustique,91
112,2,7,Été,Culture rustique,92
113,4,7,Printemps,Culture rustique,93
114,5,7,Été,Culture rustique,94
115,4,10,Automne,Besoin fort en eau,94
116,3,7,Printemps,Sensible au gel,95
117,3,7,Printemps,Besoin fort en eau,96
118,4,9,Automne,Culture rustique,97
119,1,5,Printemps,Culture rustique,98
120,3,7,Printemps,Culture rustique,99
121,5,9,Automne,Culture rustique,99
122,7,9,Automne,,100
123,3,6,Été,,100
